user_id,experience_level,workout_type_encoded,session_duration_hours,workout_frequency,bmi,age,gender_encoded
43,1,0,0.42666668,0.0,0.30938545,0.024390243,1
44,1,3,0.6666667,0.0,0.74019545,0.46341464,0
45,1,1,0.46666667,0.33333334,0.07963394,0.6585366,0
46,1,2,0.22666667,0.33333334,0.15310346,0.14634146,0
47,1,0,0.6066667,0.0,0.2890757,0.17073171,0
48,1,1,0.48666668,0.33333334,0.2157192,0.8292683,1
49,2,0,0.35333332,0.6666667,0.56723887,0.31707317,1
50,2,2,0.61333334,0.33333334,0.18950674,0.3902439,1
51,3,0,0.78,1.0,0.39603812,0.85365856,0
52,1,0,0.42,0.33333334,0.58257866,0.9512195,0
53,1,1,0.50666666,0.33333334,0.542735,0.07317073,0
54,1,3,0.20666666,0.33333334,0.2787973,0.024390243,1
55,2,0,0.64666665,0.6666667,0.86674213,0.12195122,0
56,2,2,0.6,0.33333334,0.42716005,1.0,1
57,1,0,0.38666666,0.33333334,0.25182095,0.07317073,1
58,3,0,0.78,0.6666667,0.22756797,0.68292683,1
59,1,3,0.04,0.0,0.12451287,0.41463414,1
60,2,1,0.36,0.33333334,0.26998973,0.6097561,1
61,2,2,0.38666666,0.6666667,0.120978765,0.80487806,1
62,3,1,0.8333333,1.0,0.5493054,0.2195122,0
63,2,1,0.48666668,0.33333334,0.12757516,0.85365856,0
64,3,1,0.98,1.0,0.26548293,0.31707317,1
65,1,0,0.08,0.0,0.36149806,0.73170733,1
66,3,3,0.99333334,1.0,0.5658712,0.34146342,0
67,1,0,0.26,0.33333334,0.22794397,0.17073171,1
68,3,2,0.87333333,0.6666667,0.19728726,0.31707317,1
69,2,3,0.5466667,0.6666667,0.71415424,0.5365854,0
70,3,1,0.82,1.0,0.40985686,0.9512195,1
71,2,3,0.64666665,0.33333334,0.36158726,0.4878049,1
72,2,2,0.38,0.6666667,0.07784517,0.36585367,1
73,2,0,0.38666666,0.33333334,0.25467524,0.41463414,0
74,2,0,0.42,0.6666667,0.62719977,0.5609756,0
75,1,1,0.38666666,0.33333334,0.11813948,0.6097561,0
76,1,0,0.58,0.33333334,0.15535785,0.58536583,1
77,1,0,0.086666666,0.0,0.24682516,0.9756098,1
78,1,2,0.45333335,0.0,0.555463,0.68292683,0
79,3,3,0.91333336,1.0,0.33029556,0.34146342,1
80,1,0,0.46666667,0.0,0.13197659,0.0,1
81,3,2,0.85333335,1.0,0.1953572,0.58536583,1
82,1,2,0.24,0.33333334,0.29881367,0.14634146,1
83,1,1,0.38666666,0.0,0.44096982,0.19512194,1
84,2,2,0.42,0.33333334,0.24538021,0.5609756,0
85,2,1,0.5133333,0.6666667,0.18905596,0.0,1
86,2,0,0.56,0.33333334,0.46335134,0.17073171,0
87,2,1,0.6333333,0.6666667,0.28171593,0.5609756,1
88,2,2,0.39333335,0.6666667,0.4608038,0.24390244,0
89,1,3,0.093333334,0.0,0.45864034,0.3902439,1
90,3,3,0.9533333,0.6666667,0.5095565,0.17073171,0
91,3,0,0.8666667,0.6666667,0.24547088,0.8292683,1
92,2,0,0.50666666,0.33333334,0.41388595,0.8292683,0
93,1,3,0.50666666,0.33333334,0.26616272,0.7804878,1
94,2,1,0.5,0.33333334,0.4792572,0.09756097,0
95,1,0,0.053333335,0.33333334,0.26194528,1.0,1
96,1,2,0.52666664,0.0,0.7566927,0.9268293,0
97,1,0,0.55333334,0.33333334,0.6726157,0.9756098,0
98,2,1,0.43333334,0.6666667,0.36589932,0.6585366,1
99,3,0,0.98,0.6666667,0.17149574,0.14634146,1
100,2,2,0.44,0.33333334,0.460653,0.19512194,0
101,2,2,0.66,0.6666667,0.08998489,0.17073171,1
102,2,2,0.46666667,0.33333334,0.27410245,0.2682927,0
103,1,1,0.026666667,0.33333334,0.5909828,0.80487806,0
104,1,1,0.31333333,0.33333334,0.15444498,0.7804878,0
105,3,2,0.86,1.0,0.13905573,0.5365854,1
106,1,2,0.006666667,0.0,0.16901396,0.5609756,0
107,3,1,0.82666665,1.0,0.28691426,0.8780488,0
108,2,1,0.5933333,0.33333334,0.5086316,0.8292683,1
109,2,1,0.34,0.6666667,0.4677617,0.9512195,1
110,2,3,0.62666667,0.33333334,0.24834299,0.5121951,1
111,2,1,0.6066667,0.6666667,0.35604075,0.63414633,1
112,3,2,0.85333335,0.6666667,0.35951924,0.8292683,0
113,3,3,0.81333333,0.6666667,0.29836223,0.0,0
114,2,1,0.34,0.6666667,0.41390955,0.8292683,0
115,1,2,0.033333335,0.33333334,0.3042589,0.8780488,0
116,2,0,0.39333335,0.33333334,0.11196205,0.31707317,1
117,3,3,0.79333335,1.0,0.22815941,0.048780486,0
118,1,2,0.6066667,0.0,0.48497134,0.0,0
119,2,0,0.34666666,0.6666667,0.38181528,0.09756097,1
120,2,2,0.48,0.6666667,0.31558478,0.6097561,0
121,2,1,0.52666664,0.33333334,0.41668755,0.31707317,0
122,1,1,0.33333334,0.0,0.57924634,0.9268293,0
123,2,0,0.52,0.6666667,0.45150012,0.63414633,0
124,3,1,0.98,1.0,0.48556194,0.19512194,0
125,1,2,0.52,0.33333334,0.46979275,0.34146342,0
126,1,0,0.006666667,0.0,0.24222167,0.34146342,1
127,3,2,0.9866667,0.6666667,0.14820547,0.6097561,1
128,1,2,0.10666667,0.33333334,0.58407086,1.0,0
129,3,2,0.74,1.0,0.26945063,0.29268292,0
130,2,1,0.49333334,0.33333334,0.06947627,0.75609756,1
131,1,1,0.12,0.33333334,0.07355791,0.9268293,0
132,3,2,0.94,1.0,0.25192824,0.75609756,0
133,2,3,0.58666664,0.33333334,0.8824932,0.07317073,0
134,2,2,0.61333334,0.6666667,0.158187,0.70731705,1
135,1,2,0.44666666,0.0,0.2750578,0.8780488,0
136,2,0,0.54,0.33333334,0.32448345,0.5365854,1
137,1,2,0.10666667,0.0,0.3259775,0.9268293,0
138,1,1,0.49333334,0.0,0.3875349,0.34146342,1
139,3,0,0.79333335,0.6666667,0.25992772,0.68292683,1
140,1,3,0.26,0.33333334,0.3311294,0.85365856,0
141,2,0,0.50666666,0.6666667,0.47588593,0.29268292,1
142,1,3,0.58666664,0.0,0.51392215,0.75609756,0
143,2,0,0.61333334,0.6666667,0.194786,0.14634146,1
144,1,0,0.31333333,0.33333334,0.2859518,0.5121951,0
145,3,3,0.68666667,0.6666667,0.41601998,0.6585366,0
146,2,1,0.52,0.33333334,0.30025336,0.024390243,1
147,1,1,0.38,0.33333334,0.024137262,1.0,0
148,1,1,0.13333334,0.33333334,0.3551497,0.12195122,0
149,1,0,0.64,0.33333334,0.21918683,0.6585366,1
150,2,2,0.64,0.33333334,0.0592034,0.6585366,0
151,1,0,0.026666667,0.0,0.4438035,0.46341464,0
152,3,2,0.96666664,0.6666667,0.36720616,0.70731705,1
153,2,2,0.5466667,0.33333334,0.20624234,0.24390244,1
154,1,1,0.22,0.0,0.70516485,0.6585366,0
155,2,2,0.61333334,0.6666667,0.09919179,0.58536583,0
156,2,0,0.48666668,0.6666667,0.003908645,0.9268293,1
157,1,0,0.11333334,0.33333334,0.2555277,0.7804878,1
158,1,1,0.53333336,0.0,0.39131537,0.0,0
159,1,3,0.34666666,0.33333334,0.2764138,0.63414633,1
160,2,0,0.38666666,0.33333334,0.7151715,0.29268292,0
161,2,2,0.66,0.33333334,0.46789688,0.9756098,0
162,2,0,0.5733333,0.33333334,0.4094521,0.048780486,0
163,3,0,0.7133333,0.6666667,0.36075032,0.9268293,0
164,3,0,0.7,0.6666667,0.33705294,0.12195122,0
165,2,3,0.36,0.6666667,0.10927994,0.17073171,1
166,3,2,0.72,1.0,0.35333306,0.63414633,1
167,1,1,0.42666668,0.33333334,0.2863861,0.19512194,1
168,1,0,0.5133333,0.0,0.27975088,0.8780488,1
169,1,2,0.28,0.0,0.01897339,0.7804878,0
170,1,2,0.38666666,0.33333334,0.47697094,1.0,0
171,2,1,0.39333335,0.6666667,0.09521486,0.5609756,0
172,3,0,0.68,1.0,0.33440685,0.34146342,0
173,1,3,0.4,0.33333334,0.15607657,0.75609756,1
174,1,2,0.64,0.33333334,0.38508147,0.75609756,0
175,2,1,0.46666667,0.33333334,0.26220286,0.5609756,0
176,3,3,0.72,0.6666667,0.2015223,0.9756098,1
177,1,2,0.12,0.33333334,0.14967968,0.2682927,1
178,2,0,0.4,0.33333334,0.19577888,0.9268293,1
179,1,2,0.36666667,0.33333334,0.1288278,0.024390243,1
180,1,3,0.22,0.33333334,0.6807811,0.048780486,0
181,3,3,0.6933333,1.0,0.315612,0.8780488,0
182,3,0,0.87333333,1.0,0.14967968,0.3902439,1
183,1,0,0.52,0.0,0.4101318,0.024390243,0
184,3,1,0.7733333,0.6666667,0.3405037,0.024390243,0
185,2,0,0.62666667,0.6666667,0.061044414,0.6585366,0
186,3,1,0.91333336,1.0,0.19475599,0.5365854,1
187,2,3,0.46666667,0.6666667,0.5022788,0.8780488,0
188,2,3,0.58,0.33333334,0.27220416,0.75609756,1
189,2,2,0.39333335,0.6666667,0.088736445,0.7804878,0
190,2,2,0.4,0.6666667,0.2317629,0.0,0
191,1,1,0.48666668,0.33333334,0.34901094,0.4390244,0
192,1,0,0.48666668,0.33333334,0.4236994,0.024390243,1
193,1,0,0.55333334,0.0,0.63866156,0.6097561,0
194,2,2,0.35333332,0.33333334,0.06316149,0.75609756,1
195,1,3,0.04,0.33333334,0.118910946,0.12195122,1
196,2,1,0.6333333,0.6666667,0.45945936,0.75609756,1
197,3,3,0.8066667,0.6666667,0.5918981,0.07317073,0
198,1,3,0.45333335,0.33333334,0.15884507,0.24390244,0
199,2,0,0.50666666,0.6666667,0.38405198,0.3902439,0
200,2,1,0.35333332,0.6666667,0.36063886,0.902439,0
201,3,3,0.8933333,1.0,0.3399576,0.5609756,1
202,1,2,0.66,0.33333334,0.2806873,0.09756097,1
203,2,2,0.38666666,0.6666667,0.15988806,0.80487806,1
204,3,0,0.86,0.6666667,0.23556243,0.12195122,0
205,3,2,0.96666664,1.0,0.18108432,0.5121951,1
206,2,2,0.46666667,0.33333334,0.42012912,0.24390244,0
207,2,3,0.45333335,0.6666667,0.26676008,0.36585367,1
208,2,2,0.58,0.6666667,0.105442606,0.7804878,0
209,3,2,0.8066667,0.6666667,0.3354176,0.19512194,0
210,2,3,0.64666665,0.6666667,0.37151387,0.12195122,1
211,1,0,0.38666666,0.33333334,0.38251352,0.36585367,1
212,3,0,0.88666666,0.6666667,0.3319268,0.68292683,1
213,2,1,0.52,0.33333334,0.33691907,0.048780486,1
214,2,2,0.40666667,0.33333334,0.103807434,0.46341464,0
215,1,3,0.49333334,0.33333334,0.43809414,0.85365856,1
216,2,1,0.42,0.6666667,0.23937897,0.4390244,1
217,1,0,0.52,0.0,0.16922773,0.6097561,1
218,2,0,0.56666666,0.6666667,0.4474511,0.048780486,0
219,1,3,0.46,0.0,0.60905707,0.4390244,0
220,2,1,0.47333333,0.33333334,0.29881367,0.46341464,1
221,3,1,0.91333336,0.6666667,0.3040565,0.75609756,0
222,1,3,0.086666666,0.33333334,0.1783586,0.14634146,1
223,3,3,0.7133333,0.6666667,0.29807237,0.9756098,0
224,2,1,0.64,0.33333334,0.542735,0.7804878,0
225,3,0,0.8666667,1.0,0.29866394,0.9512195,0
226,2,2,0.39333335,0.33333334,0.6315376,0.9268293,0
227,2,0,0.33333334,0.6666667,0.33980504,0.41463414,1
228,2,3,0.6333333,0.6666667,0.42176393,0.9512195,1
229,3,1,0.91333336,0.6666667,0.34522867,0.0,1
230,2,1,0.44,0.33333334,0.4464356,0.24390244,0
231,1,2,0.62666667,0.33333334,0.10721363,0.6585366,1
232,2,1,0.52666664,0.33333334,0.112805955,0.58536583,1
233,3,2,0.7,0.6666667,0.23811603,0.5365854,1
234,2,0,0.5733333,0.6666667,0.42935815,0.73170733,0
235,2,0,0.46666667,0.6666667,0.14457548,0.70731705,0
236,2,1,0.42,0.33333334,0.41926873,1.0,0
237,3,1,0.73333335,0.6666667,0.24099173,0.8292683,1
238,1,3,0.32666665,0.0,0.07191499,0.14634146,1
239,2,3,0.52666664,0.6666667,0.4308213,0.36585367,1
240,1,1,0.21333334,0.0,0.5958867,0.6097561,0
241,1,1,0.54,0.0,0.48104694,0.024390243,0
242,1,0,0.40666667,0.0,0.17815009,0.0,1
243,1,1,0.6066667,0.33333334,0.24428512,0.2682927,0
244,2,3,0.44,0.33333334,0.47046813,0.09756097,0
245,1,0,0.18,0.0,0.17470421,0.8780488,0
246,2,2,0.6,0.6666667,0.090494715,0.75609756,0
247,1,3,0.20666666,0.33333334,0.3573158,0.19512194,1
248,1,3,0.39333335,0.0,0.3207968,0.9756098,0
249,1,0,0.28666666,0.0,0.07788243,0.8292683,0
250,1,2,0.55333334,0.33333334,0.34391573,0.4390244,0
251,2,3,0.36,0.33333334,0.8745616,0.36585367,0
252,2,1,0.5933333,0.6666667,0.34747058,0.048780486,1
253,2,3,0.40666667,0.33333334,0.3771156,0.46341464,1
254,2,0,0.34,0.6666667,0.38147798,0.5609756,0
255,1,0,0.54,0.0,0.14375812,0.7804878,0
256,3,0,0.79333335,0.6666667,0.35781783,0.5609756,0
257,2,3,0.55333334,0.6666667,0.5740845,0.24390244,0
258,2,2,0.43333334,0.33333334,0.010815585,0.17073171,0
259,1,1,0.013333334,0.0,0.585517,0.85365856,0
260,1,0,0.37333333,0.0,0.44242743,0.902439,1
261,1,2,0.30666667,0.0,0.9435263,0.9512195,0
262,1,1,0.54,0.33333334,0.26194528,0.46341464,1
263,2,0,0.56,0.33333334,0.20875332,0.8292683,1
264,2,1,0.34,0.33333334,0.38680476,0.58536583,0
265,2,1,0.5733333,0.33333334,0.3806915,0.8292683,1
266,2,2,0.38,0.33333334,0.34718364,0.58536583,1
267,3,1,0.68,0.6666667,0.21476199,0.68292683,1
268,2,0,0.35333332,0.6666667,0.1962892,0.41463414,1
269,3,2,0.75333333,1.0,0.3483913,0.41463414,1
270,1,3,0.6,0.0,0.17179784,0.024390243,1
271,1,3,0.5733333,0.33333334,0.7399235,0.8292683,0
272,1,2,0.28,0.33333334,0.21527843,0.36585367,1
273,2,3,0.41333333,0.33333334,0.32561255,0.9756098,1
274,3,1,0.68,1.0,0.13988751,0.85365856,1
275,1,0,0.20666666,0.0,0.5015658,0.7804878,0
276,3,1,0.98,1.0,0.22490618,0.07317073,1
277,1,2,0.6533333,0.0,0.14098077,0.7804878,0
278,3,0,0.6933333,0.6666667,0.2968518,0.31707317,1
279,1,2,0.2,0.0,0.44997638,0.4878049,0
280,1,2,0.5933333,0.0,0.13697837,0.46341464,0
281,2,2,0.56666666,0.33333334,0.304583,0.17073171,1
282,1,1,0.22,0.33333334,0.037093814,0.14634146,1
283,1,0,0.086666666,0.0,0.5998796,0.048780486,0
284,1,0,0.64666665,0.33333334,0.4738688,0.3902439,1
285,3,0,0.86,1.0,0.5176677,0.7804878,0
286,2,1,0.5733333,0.6666667,0.5104443,0.2682927,0
287,1,3,0.20666666,0.0,0.38160384,0.5121951,0
288,2,1,0.4,0.6666667,0.5329206,0.5121951,0
289,2,1,0.58,0.6666667,0.31788057,0.70731705,0
290,1,2,0.26666668,0.0,0.07190597,0.902439,1
291,2,0,0.42,0.6666667,0.8840509,0.902439,0
292,1,0,0.61333334,0.0,0.45137492,0.17073171,0
293,1,3,0.6066667,0.33333334,0.31789166,0.63414633,1
294,2,3,0.6,0.6666667,0.27257752,0.63414633,0
295,1,2,0.6,0.33333334,0.45144272,0.80487806,1
296,2,0,0.38,0.33333334,0.20400521,0.4878049,1
297,2,3,0.6533333,0.33333334,0.1372261,0.70731705,1
298,1,3,0.02,0.0,0.6434619,0.7804878,0
299,2,0,0.35333332,0.33333334,0.35100734,0.6585366,0
300,1,1,0.18,0.0,0.5814873,0.7804878,0
301,3,3,0.74666667,0.6666667,0.23811603,0.09756097,1
302,2,0,0.53333336,0.6666667,0.82588685,0.4390244,0
303,3,3,0.96,0.6666667,0.33438852,0.07317073,1
304,2,2,0.64,0.33333334,0.18357189,0.8292683,0
305,1,3,0.5733333,0.0,0.45944068,0.3902439,1
306,2,0,0.42666668,0.6666667,0.5085283,0.6585366,0
307,3,3,0.9,1.0,0.32485637,0.70731705,0
308,2,2,0.62,0.33333334,0.16797014,0.68292683,0
309,3,2,0.78,1.0,0.16787562,0.12195122,1
310,3,3,0.88666666,0.6666667,0.43018752,0.8292683,1
311,1,3,0.34,0.0,0.6262561,0.9756098,0
312,1,2,0.20666666,0.0,0.25039053,0.8780488,0
313,2,2,0.6,0.6666667,0.3095737,0.5609756,1
314,2,1,0.33333334,0.6666667,0.3203707,0.68292683,1
315,3,1,0.9866667,0.6666667,0.34310678,0.73170733,1
316,3,2,0.8933333,0.6666667,0.4251119,0.8292683,0
317,1,3,0.5,0.0,0.38845065,0.7804878,1
318,1,0,0.58,0.33333334,0.09255619,0.4878049,0
319,2,3,0.44,0.6666667,0.10329789,0.75609756,1
320,1,3,0.53333336,0.0,0.31949446,0.5365854,0
321,3,1,0.9,0.6666667,0.28615323,0.7804878,1
322,2,1,0.36,0.33333334,0.46908346,0.048780486,1
323,2,1,0.42,0.6666667,0.41697773,0.41463414,1
324,1,2,0.42666668,0.0,0.22107375,0.58536583,1
325,2,2,0.35333332,0.33333334,0.21211575,1.0,1
326,2,3,0.6533333,0.33333334,0.2789844,0.73170733,0
327,2,3,0.61333334,0.6666667,0.30919173,0.048780486,1
328,1,0,0.12666667,0.33333334,0.43093875,0.9512195,1
329,2,3,0.61333334,0.33333334,0.3771156,0.5609756,1
330,3,3,0.88,0.6666667,0.4742305,0.75609756,0
331,1,1,0.48,0.0,0.36810163,0.5121951,1
332,1,1,0.20666666,0.0,0.18994515,0.5365854,0
333,1,1,0.30666667,0.0,0.22875,0.024390243,1
334,2,1,0.66,0.33333334,0.031606518,0.63414633,1
335,2,1,0.56666666,0.33333334,0.42959347,1.0,0
336,2,0,0.46666667,0.6666667,0.30165118,0.024390243,1
337,1,0,0.44666666,0.33333334,0.22355983,0.6097561,0
338,1,0,0.61333334,0.0,0.52284014,0.3902439,0
339,2,1,0.62666667,0.33333334,0.06822825,0.9512195,1
340,2,2,0.38,0.6666667,0.4991784,0.7804878,0
341,3,1,0.8,1.0,0.36473045,0.19512194,1
342,1,1,0.22,0.33333334,0.07319895,0.9268293,1
343,2,0,0.6533333,0.33333334,0.0544014,0.68292683,0
344,2,1,0.62,0.33333334,0.5794699,1.0,0
345,2,0,0.42666668,0.33333334,0.86321265,0.6097561,0
346,2,1,0.54,0.33333334,0.3103087,0.8292683,0
347,2,3,0.43333334,0.33333334,0.25436735,0.58536583,1
348,3,2,0.99333334,1.0,0.18979523,0.5609756,1
349,1,2,0.093333334,0.0,0.16012362,0.29268292,0
350,1,0,0.6066667,0.33333334,0.2781543,0.14634146,1
351,2,3,0.66,0.33333334,0.2714338,0.85365856,1
352,2,2,0.42,0.6666667,0.15465243,0.46341464,1
353,1,0,0.22666667,0.33333334,0.47806653,0.0,1
354,1,1,0.11333334,0.33333334,0.20231453,0.17073171,0
355,1,1,0.58666664,0.0,0.43611696,0.36585367,0
356,3,3,0.70666665,0.6666667,0.30629256,0.31707317,1
357,1,2,0.093333334,0.0,0.4049743,0.2682927,0
358,1,1,0.26666668,0.33333334,0.087564714,0.5365854,0
359,1,0,0.046666667,0.33333334,0.67786455,0.34146342,0
360,1,1,0.58,0.33333334,0.34391895,0.6585366,1
361,1,1,0.28,0.33333334,0.58447915,0.80487806,1
362,2,2,0.47333333,0.33333334,0.14939593,0.024390243,1
363,1,2,0.13333334,0.33333334,0.19535121,0.75609756,0
364,3,0,0.9533333,1.0,0.38429856,0.5365854,1
365,1,3,0.28,0.33333334,0.2648224,0.5121951,1
366,2,3,0.42666668,0.33333334,0.19625336,0.58536583,0
367,3,1,0.92,0.6666667,0.24853119,0.5121951,1
368,2,0,0.55333334,0.33333334,0.35135192,0.5121951,1
369,2,3,0.53333336,0.6666667,0.6013446,1.0,0
370,1,3,0.56666666,0.0,0.42929637,0.12195122,0
371,1,1,0.61333334,0.0,0.16537502,0.34146342,0
372,2,0,0.46,0.6666667,0.16922122,0.8780488,1
373,3,3,0.73333335,0.6666667,0.15735522,0.7804878,1
374,2,2,0.62,0.33333334,0.34879008,0.17073171,1
375,2,2,0.33333334,0.6666667,0.53089887,0.09756097,0
376,2,1,0.50666666,0.6666667,0.703923,0.9268293,0
377,2,1,0.58,0.6666667,0.2839346,0.07317073,1
378,1,1,0.5,0.0,0.31481308,0.12195122,1
379,2,1,0.35333332,0.33333334,0.4704855,0.75609756,0
380,3,3,0.9066667,1.0,0.5918981,0.70731705,0
381,1,0,0.28666666,0.0,0.3768928,0.8292683,0
382,2,1,0.43333334,0.6666667,0.43863183,0.9512195,0
383,1,1,0.23333333,0.0,0.2651005,0.36585367,1
384,2,3,0.58,0.33333334,0.28671056,0.29268292,0
385,1,1,0.48,0.0,0.08371916,1.0,1
386,2,1,0.58,0.33333334,0.26267716,0.70731705,1
387,2,0,0.6666667,0.6666667,0.087082,0.4390244,1
388,1,2,0.15333334,0.33333334,0.4631488,0.3902439,0
389,2,1,0.39333335,0.6666667,0.06549009,0.4390244,0
390,2,3,0.54,0.6666667,0.19769907,0.6585366,0
391,3,0,0.93333334,1.0,0.25262913,0.6097561,0
392,1,3,0.49333334,0.0,0.26049837,0.8780488,1
393,1,0,0.45333335,0.0,0.18787542,0.6097561,0
394,1,0,0.58666664,0.33333334,0.34129202,0.5365854,0
395,3,1,0.9533333,1.0,0.4308598,0.19512194,1
396,3,1,0.68,0.6666667,0.5520506,0.2682927,0
397,2,1,0.48666668,0.6666667,0.32519862,0.0,1
398,3,2,0.93333334,0.6666667,0.26896152,0.0,1
399,2,2,0.66,0.6666667,0.34724522,0.80487806,1
400,2,3,0.42666668,0.6666667,0.37534854,0.75609756,1
401,1,1,0.36,0.33333334,0.047469117,0.58536583,1
402,2,2,0.46666667,0.6666667,0.18718381,0.9512195,1
403,1,1,0.06666667,0.33333334,0.37327212,0.0,1
404,3,2,0.8466667,0.6666667,0.24325694,0.36585367,1
405,2,2,0.33333334,0.33333334,0.6368542,0.9268293,0
406,2,0,0.6533333,0.6666667,0.46665564,0.09756097,0
407,1,1,0.5466667,0.33333334,0.19816951,0.5121951,0
408,1,1,0.6,0.33333334,0.74969816,0.68292683,0
409,1,2,0.0,0.0,0.21713006,0.048780486,1
410,1,1,0.6333333,0.0,0.2214294,0.2682927,0
411,1,2,0.15333334,0.0,0.08457173,0.6097561,1
412,3,1,0.7266667,0.6666667,0.22210239,0.36585367,0
413,2,0,0.52,0.6666667,0.14136168,0.8780488,0
414,1,1,0.14666666,0.0,0.483711,0.5121951,0
415,1,0,0.25333333,0.33333334,0.26395914,0.68292683,1
416,2,3,0.66,0.6666667,0.38980508,0.31707317,0
417,2,1,0.5,0.6666667,0.14920606,0.6585366,1
418,2,1,0.5133333,0.33333334,0.20607261,0.09756097,1
419,3,1,0.9866667,0.6666667,0.25440648,0.70731705,0
420,2,0,0.56666666,0.6666667,0.6375788,0.09756097,0
421,3,1,0.76666665,1.0,0.22087903,0.2682927,0
422,3,1,0.8933333,1.0,0.3319268,0.36585367,1
423,1,2,0.52,0.0,0.41837525,0.6097561,0
424,3,3,0.9066667,1.0,0.32816038,0.6097561,1
425,1,0,0.08,0.0,0.009295698,0.4878049,1
426,3,2,0.67333335,1.0,0.3003588,0.9268293,0
427,1,0,0.12666667,0.33333334,0.49893725,0.85365856,0
428,3,2,0.9533333,1.0,0.291862,0.7804878,1
429,3,3,0.6933333,1.0,0.19642687,0.70731705,1
430,3,2,0.82666665,0.6666667,0.40593037,0.8780488,1
431,2,0,0.62,0.33333334,0.067240395,0.5365854,0
432,1,1,0.29333332,0.33333334,0.2695603,0.2195122,1
433,1,1,0.006666667,0.33333334,0.16122718,0.09756097,0
434,2,3,0.37333333,0.6666667,0.2986821,0.85365856,1
435,1,0,0.62,0.33333334,0.33846778,0.80487806,1
436,2,0,0.34,0.33333334,0.5430648,0.73170733,0
437,1,0,0.5933333,0.0,0.15402803,0.2195122,1
438,3,3,0.8666667,1.0,0.26642424,0.4390244,0
439,2,1,0.42666668,0.6666667,0.13649704,0.75609756,0
440,3,2,0.9866667,1.0,0.40934592,0.0,1
441,1,3,0.36,0.33333334,0.060356297,0.09756097,0
442,3,2,0.8666667,0.6666667,0.2688473,0.07317073,0
443,3,1,0.72,1.0,0.31457838,0.36585367,1
444,2,3,0.48,0.33333334,0.24155515,0.5609756,0
445,2,1,0.6,0.6666667,0.7803328,0.36585367,0
446,2,2,0.47333333,0.6666667,0.41214553,0.024390243,0
447,1,0,0.10666667,0.0,0.3798007,0.6585366,1
448,2,0,0.46666667,0.33333334,0.71897995,0.75609756,0
449,1,2,0.25333333,0.0,0.08457573,0.63414633,1
450,1,0,0.12666667,0.0,0.49482352,0.46341464,1
451,1,2,0.18,0.0,0.28839552,0.5609756,0
452,1,3,0.17333333,0.0,0.2986821,0.2682927,0
453,1,3,0.23333333,0.0,0.09469406,0.8292683,0
454,1,3,0.46666667,0.0,0.3259775,0.7804878,1
